,BC07_tumor,BC07,BC08_tumor,BC08,BC09_tumor,BC09,BC10_tumor,BC10
Ssr3,8298,9719,12456,8840,16504,11691,10566,10991
Gm38503,4,2,0,6,7,2,4,4
Tiparp,874,866,1084,430,2469,1979,703,1394
Gm54197,0,0,0,0,0,0,0,0
Lekr1,56,42,33,60,78,49,37,32
Ccnl1,1400,1253,1167,1212,1638,1252,884,1589
Veph1,8,3,11,6,9,0,15,18
Ptx3,435,222,3284,1056,397,72,3712,3360
Shox2,6,59,50,309,581,645,81,391
Rsrc1,1076,1250,804,1103,1477,1105,659,1157
Mlf1,144,61,60,78,181,72,62,60
Gfm1,2306,2714,1352,1364,1783,2986,1588,2960
Lxn,396,295,1527,1645,2488,796,504,533
Rarres1,9,0,101,142,85,25,7,10
Mfsd1,2517,2477,2584,2497,3032,2785,2597,3736
Iqschfp,0,0,0,0,0,0,0,0
Iqcj,0,0,0,1,0,0,0,0
Schip1,1,3,14,2,18,7,11,8
Gm5848,26,35,9,29,8,26,18,8
Il12a,11,1,0,0,0,0,0,0
1110032F04Rik,11,12,8,18,12,4,0,4
Ift80,730,1023,398,901,870,668,616,917
Smc4,4767,6208,3249,4524,4078,6470,3991,7123
Trim59,2066,2232,1780,2054,2390,2941,2070,3407
Kpna4,2102,2532,3401,1943,2587,3598,2571,4749
Arl14,0,0,0,0,0,0,0,0
Ppm1l,787,846,388,714,1057,999,512,944
B3galnt1,172,149,764,699,455,255,651,650
Nmd3,1981,2262,1111,1349,2758,2795,1473,2748
Sptssb,0,0,0,0,0,0,0,0
Otol1,2,0,0,0,0,0,0,0
Sis,0,0,0,0,0,0,0,0
Slitrk3,0,0,2,0,1,0,0,0
Bche,319,253,138,328,462,52,7,7
Zbbx,0,2,0,0,0,0,0,0
Serpini2,0,0,0,0,0,0,0,0
Wdr49,0,0,0,0,0,0,0,2
Pdcd10,1036,762,810,608,994,740,717,823
Serpini1,52,52,70,29,47,61,50,42
Golim4,1874,1850,5024,2778,2488,1506,2406,3151
Fstl5,0,0,0,0,0,0,0,0
Rapgef2,727,809,835,605,546,510,510,890
Spmip2,1,1,1,0,0,0,0,0
Fnip2,566,734,562,470,1229,1403,647,846
Ppid,4427,5000,1864,3835,3888,5369,2416,5746
Etfdh,1297,1244,842,1462,1344,1123,799,917
4930579G24Rik,522,561,447,649,560,753,446,535
Rxfp1,5,4,55,618,157,19,1,7
Tmem144,190,110,111,170,409,303,172,315
Gask1b,130,31,5969,163,1827,355,2340,2210
Gria2,0,3,3,3,1,0,0,0
Glrb,23,56,60,146,267,56,54,41
Gm29808,1,1,1,2,2,3,1,1
Pdgfc,475,795,644,230,899,334,683,589
Ctso,126,49,107,101,101,31,108,39
Tdo2,0,0,1,0,0,0,0,0
Asic5,0,0,0,0,0,0,0,0
Gucy1b1,41,40,410,95,657,187,183,21
Gucy1a1,18,63,252,9,310,37,233,18
Map9,260,303,242,379,244,266,168,311
Npy2r,0,0,1,0,0,0,0,0
Rbm46,341,234,277,5,337,30,172,132
Lrat,1,0,0,0,356,3,3,0
Fgg,1,0,0,0,1,0,0,0
Fga,0,0,0,0,0,0,0,0
Fgb,0,0,3,0,0,0,0,0
Plrg1,1634,1627,951,1299,1739,1723,1211,1784
Gm10710,0,0,0,0,0,0,0,0
Dchs2,149,121,16,122,20,71,16,40
Sfrp2,102,24,500,5107,1331,1153,317,1345
Tlr2,279,127,149,113,309,106,196,128
Tmem131l,668,747,300,630,898,827,460,836
Mnd1,271,205,161,313,353,237,166,337
Trim2,335,341,511,431,1403,536,290,293
Fhdc1,113,274,114,63,68,92,79,63
Arfip1,895,1066,1049,1010,1542,891,977,1049
Tigd4,1,1,1,2,0,0,0,0
Tmem154,45,3,103,38,143,77,39,12
Fbxw7,454,495,335,350,813,536,359,398
Gatb,320,368,106,393,485,273,228,340
Fhip1a,27,35,127,122,85,39,100,105
Glt28d2,9,7,19,43,10,22,27,20
Sh3d19,1658,2221,1441,1926,2297,2071,1986,3054
Prss48,0,0,0,0,0,0,0,0
Rps3a1,13621,15700,8776,14427,17830,13749,10636,14393
Lrba,542,667,397,445,464,384,327,424
Mab21l2,70,11,5,0,4,1,28,2
Dclk2,60,41,90,291,507,77,50,86
Cd1d2,22,25,34,49,38,26,40,29
Cd1d1,197,158,219,287,370,105,239,245
Kirrel1,5407,6491,5847,5671,4025,3700,5035,7735
Fcrl2,5,2,4,0,0,0,0,0
Cd5l,0,2,0,0,0,0,0,0
Fcrl1,0,0,0,0,0,0,0,0
Fcrl5,0,0,0,0,0,0,0,0
Etv3,725,662,460,518,741,625,431,599
Etv3l,1,1,0,0,0,3,1,0
Arhgef11,982,958,988,1028,1159,890,791,954
Gm6570,2,4,0,2,0,2,3,3
Lrrc71,15,17,11,4,2,2,8,7
