,BC07_tumor,BC07,BC08_tumor,BC08,BC09_tumor,BC09,BC10_tumor,BC10
Xkr4,0,0,54,10,9,0,8,0
Rp1,0,1,6,0,0,0,0,0
Sox17,2,0,93,0,4,0,1,0
Mrpl15,1223,1314,886,1254,2055,1531,941,1567
Lypla1,1402,1423,1415,1585,1930,1600,1235,1658
Tcea1,3188,4116,2743,3536,5464,5194,3902,5974
Rgs20,6,3,13,14,13,2,1,7
Atp6v1h,1278,1160,1772,1031,1353,1616,1428,2008
Oprk1,0,0,1,0,0,0,0,2
Npbwr1,0,1,1,3,0,0,0,0
Rb1cc1,1031,1003,2246,1238,1504,1010,2129,2235
Alkal1,1,0,35,8,4,0,22,32
St18,0,1,3,0,0,0,6,0
Pcmtd1,478,480,612,564,716,418,620,589
Sntg1,0,0,37,0,2,0,1,0
Rrs1,1787,2178,1269,1577,2420,3128,1540,3039
Adhfe1,31,13,4,9,158,13,21,6
Vxn,0,0,4,0,0,0,0,1
Mybl1,163,202,466,280,182,267,174,378
Vcpip1,849,989,844,1045,1266,1277,800,1141
Sgk3,134,151,118,12,191,179,59,31
Gm6195,1,7,0,6,2,4,1,0
Mcmdc2,1,2,0,1,0,2,0,4
Tcf24,2,5,51,1,49,15,12,22
Ppp1r42,0,0,0,3,0,0,0,1
Cops5,1954,1950,1488,1861,2002,1960,1537,2052
Cspp1,274,309,318,399,321,430,270,457
Arfgef1,1770,2130,2281,2004,2558,2854,1960,3242
Cpa6,3,0,23,32,6,0,51,63
Prex2,487,319,890,49,202,28,102,81
A830018L16Rik,0,0,7,0,7,0,7,1
Sulf1,697,243,5406,249,1201,72,2474,556
Slco5a1,31,27,541,19,752,510,120,76
Prdm14,0,0,0,0,0,0,0,0
Ncoa2,773,1174,946,1198,1222,786,812,1174
Tram1,1667,1876,2695,2198,2695,2392,2312,2306
Lactb2,524,614,640,605,887,871,689,1178
Xkr9,0,0,0,0,4,0,0,0
Eya1,124,185,191,438,1276,650,108,392
Msc,2,0,6,1,11,16,4,0
Trpa1,40,39,0,3,3,7,11,23
Kcnb2,0,0,0,0,0,0,0,0
Terf1,481,522,336,390,526,467,336,582
Sbspon,62,12,6,3,12,5,3,5
4930444P10Rik,0,0,3,3,1,2,1,1
Rpl7,17578,21099,14316,23660,27778,23946,17720,22538
Rdh10,648,446,583,261,657,584,592,488
Stau2,290,282,399,276,665,222,447,479
Ube2w,605,621,918,548,1031,547,759,805
Eloc,1640,1700,1857,1454,2000,1573,1901,2405
Tmem70,1464,1451,1830,1479,2432,1412,1710,1847
Ly96,31,19,68,28,61,60,51,71
Jph1,154,169,311,251,328,385,346,556
Gdap1,8,5,16,26,8,2,14,4
Pi15,4,14,675,60,85,2,317,148
Crispld1,53,31,24,2,4,1,6,5
Crisp4,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0
Gm28343,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,0,0
Tfap2b,0,8,23,1,173,58,4,0
Pkhd1,0,6,2,0,0,0,2,0
Il17a,0,0,0,0,0,0,0,0
Il17f,3,6,0,4,1,0,0,2
Mcm3,4641,5201,2414,3700,3632,5289,3250,6441
Paqr8,209,221,327,202,125,54,251,236
Efhc1,32,36,24,61,96,15,56,30
Tram2,264,275,459,112,233,300,267,235
Tmem14a,25,23,57,68,55,21,37,22
Gsta3,1,2,21,1,4,2,2,0
Gm7094,0,0,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0
Kcnq5,135,130,90,193,232,240,128,195
Rims1,2,4,9,0,0,0,3,0
Ppp1r14bl,0,0,1,0,0,0,0,0
Ogfrl1,211,152,275,273,340,190,290,290
B3gat2,3,9,7,6,13,13,7,6
Smap1,514,585,775,571,695,714,678,897
Sdhaf4,149,151,125,156,202,153,154,179
Fam135a,543,618,609,783,1004,781,664,834
Col9a1,266,194,2,107,792,11,0,0
Col19a1,1,6,8,1,1,3,0,0
Lmbrd1,493,562,724,633,709,545,486,518
Adgrb3,0,0,3,0,7,0,2,0
Gm20172,0,0,0,0,0,0,0,0
Spata31e2,0,0,0,0,0,0,0,0
Spata31e5,0,2,0,0,0,0,0,0
Gm6462,0,0,0,0,0,0,0,0
Gm46086,0,0,0,0,0,0,0,0
Phf3,1783,2146,2050,2404,2399,2976,1951,3192
Ptp4a1,1916,2175,3462,2287,3073,3764,2774,4723
Lgsn,0,0,0,0,0,0,0,0
Dnaaf6rt,0,0,0,0,0,0,0,0
Khdrbs2,0,4,5,1,0,0,0,0
Gm9839,0,4,0,0,0,0,0,0
Semp2l1,0,11,0,1,0,0,0,0
Prim2,643,726,669,889,1034,973,740,932
Rab23,582,532,1080,763,693,813,960,1127
Bag2,1152,1269,2359,1098,1514,1299,1517,2118
Zfp451,719,665,637,739,945,839,562,1016
Gm15455,13,22,7,19,4,19,8,18
Bend6,60,66,65,89,329,117,84,154
Dst,3665,3259,6854,4145,5292,4436,4515,7530
Ccdc115,557,494,321,313,483,414,306,461
Imp4,1594,2010,1166,1770,1893,2794,1288,2247
Ptpn18,17,14,9,5,22,7,8,5
Prss39,0,0,0,0,0,0,0,0
Cfc1,96,69,0,0,6,0,0,0
Prss40,18,6,0,0,0,0,0,0
Amer3,1,5,0,0,0,0,0,0
Arhgef4,1,1,8,11,24,10,5,1
Smim39,0,0,0,0,0,0,0,0
Fam168b,3376,4008,4037,4446,5952,5285,4565,6947
Plekhb2,422,443,1620,334,1604,1267,1286,1386
Hs6st1,1124,1701,1769,1045,1505,1349,1835,1665
Uggt1,3187,3477,4582,3127,3572,4221,3770,4747
Neurl3,21,3,54,0,7,10,27,6
Arid5a,257,76,244,212,368,185,182,127
Kansl3,1179,1133,1143,1279,1827,1357,1252,1902
Fer1l5,2,0,0,0,1,2,0,0
Lman2l,306,349,465,840,750,406,354,439
Cnnm4,281,319,765,307,599,927,339,603
Cnnm3,509,557,429,602,613,588,366,729
Ankrd23,161,79,71,98,120,98,39,69
Ankrd39,206,142,154,177,190,112,85,146
Sema4c,768,628,600,533,658,229,636,525
Fam178b,2,7,1,8,20,0,0,0
Cox5b,1680,1710,1247,1690,2099,1656,1349,1745
Actr1b,2831,3087,3610,2580,3969,4054,3499,4373
4933424G06Rik,0,0,1,0,0,0,0,4
Zap70,12,1,0,1,0,0,1,0
Tmem131,2619,2815,2689,2634,3137,3974,2398,3981
Vwa3b,1,2,15,0,7,0,5,0
Cnga3,0,2,0,0,0,0,0,0
Inpp4a,305,250,290,260,253,204,203,230
Coa5,1215,1500,2021,1367,2262,2075,1717,2398
Unc50,560,455,635,571,634,548,481,556
Mgat4a,150,162,240,70,287,114,180,141
Cracdl,15,19,24,2,246,256,1,2
Tsga10,36,36,48,63,60,63,28,52
Lipt1,85,90,94,97,125,86,50,154
Mitd1,261,226,174,162,271,218,167,249
Mrpl30,991,1050,747,924,1341,1314,796,1210
Lyg2,0,2,0,0,0,0,0,3
Lyg1,0,0,0,0,0,0,0,0
Txndc9,1163,1113,1102,1196,1452,1457,1147,1607
Eif5b,2947,3843,3066,3575,3688,4510,3423,4978
Rev1,516,524,327,623,702,740,487,824
Aff3,820,882,400,551,1896,748,236,527
Lonrf2,1,16,10,21,8,6,1,5
Chst10,414,427,83,88,66,31,92,116
Nms,0,0,2,0,2,0,0,0
Pdcl3,1317,1185,1886,1064,1574,1463,1414,1564
Npas2,3,1,34,4,16,0,19,0
Rpl31,8885,8977,7396,9981,15530,11510,8463,11706
Tbc1d8,28,45,55,19,74,23,38,32
Cnot11,898,1009,845,914,1041,1243,874,1275
Rnf149,827,1022,1503,1137,1427,1389,998,1325
Creg2,5,6,6,1,0,0,4,0
Rfx8,5,13,5,3,3,1,0,1
Map4k4,3451,4347,6674,5488,7055,5632,6758,7938
Il1r2,11,14,16,11,23,2,25,4
Il1r1,606,366,1886,1086,668,249,2623,956
Il1rl2,114,77,477,48,412,73,448,126
Il1rl1,184,36,994,262,1588,676,1352,732
Il18r1,34,8,1,1,6,0,0,2
Il18rap,7,18,36,1,39,54,63,57
Slc9a4,0,0,1,0,0,0,2,0
Slc9a2,3,0,14,0,12,5,0,0
Mfsd9,26,64,91,58,98,40,69,47
Tmem182,0,0,15,0,0,0,0,0
Pou3f3,0,1,0,3,11,0,3,0
Mrps9,775,900,479,658,1300,1132,646,952
Gpr45,5,3,0,2,0,2,2,1
Tgfbrap1,507,515,709,534,734,709,577,695
AI597479,548,586,438,687,937,679,552,632
Fhl2,849,604,2428,547,1152,786,2298,2739
Nck2,492,641,612,598,950,578,665,759
Ecrg4,5,4,33,391,13,1,7,7
Uxs1,1133,1311,1097,1395,1448,1406,1135,1590
Tpp2,2098,2426,2329,2354,2427,3568,2238,3682
Mettl21c,1,0,0,0,0,1,0,2
Ccdc168,47,41,11,13,21,49,19,32
Tex30,673,801,456,480,684,852,467,858
Poglut2,1032,1120,828,1191,1413,1084,1099,1355
Bivm,428,456,406,524,652,496,467,689
Ercc5,411,375,439,538,445,486,289,322
Mettl21e,0,0,0,0,0,0,0,0
Gulp1,264,216,1340,728,1289,607,1127,774
Col3a1,2308,1697,61001,32347,33526,2433,82754,25167
Col5a2,4808,2306,63327,15005,19910,8632,38519,32231
Wdr75,2142,2410,1869,2211,2969,3557,2195,3510
Slc40a1,60,102,33,32,163,73,293,216
Dnah7b,12,13,12,15,60,27,16,19
Dnah7c,5,9,3,5,6,11,7,7
Slc39a10,1249,1588,1303,1550,1386,1724,1190,1757
Tmeff2,3,5,57,41,15,8,26,43
Cavin2,93,52,1571,155,234,16,2115,3007
Nabp1,198,151,683,120,539,473,524,582
Myo1b,943,968,1596,1039,1452,569,2735,2465
Stat4,1,3,0,1,0,0,2,0
Stat1,4063,474,547,523,648,328,546,384
Gls,3131,3643,5183,4106,5073,6842,3612,7402
Nab1,1320,1333,1477,1047,1947,1468,1689,1684
Nemp2,149,113,87,167,192,75,108,113
Mfsd6,98,129,239,54,201,52,112,52
Inpp1,784,636,229,284,172,124,167,152
Hibch,460,583,255,375,574,342,324,434
1700019D03Rik,6,11,1,1,125,2,0,2
Mstn,0,0,0,0,1,0,0,0
1700019A02Rik,0,4,0,0,0,3,0,1
Pms1,305,289,138,258,307,226,179,283
Ormdl1,296,326,276,266,486,279,285,355
Osgepl1,168,213,132,202,334,202,171,216
Asnsd1,755,923,728,1138,1206,1071,889,978
Asdurf,0,0,0,0,0,0,0,0
Dnah7a,0,0,0,3,3,0,5,0
Stk17b,406,443,536,372,387,409,888,849
Hecw2,5,5,61,17,20,10,35,40
Ccdc150,17,13,10,11,7,9,11,4
Gtf3c3,627,790,711,840,881,938,717,922
Gm34066,0,0,0,0,0,0,0,1
Pgap1,162,292,516,438,310,212,256,199
Ankrd44,613,401,845,438,1610,576,623,283
Sf3b1,5771,6446,6058,6514,6538,7708,6394,9728
Coq10b,313,253,1147,214,542,833,569,807
Hspd1,17100,24322,11427,17931,18874,30684,16038,33840
Hspe1,4142,4926,2611,4070,3937,6702,3495,6618
Mob4,974,1198,1148,1253,1354,1177,998,1264
Rftn2,402,164,196,195,135,24,245,240
Mars2,449,567,295,402,570,668,246,609
Boll,116,92,57,81,63,56,29,89
Btf3-ps17,0,0,0,1,0,1,0,0
Plcl1,25,14,439,95,135,111,82,131
Hsfy2,0,0,0,0,0,0,0,0
Satb2,222,305,139,371,177,359,77,205
1700066M21Rik,267,292,319,271,429,398,289,425
Tyw5,239,174,272,196,388,271,271,313
Maip1,388,336,364,366,526,432,344,473
Spats2l,163,58,309,280,825,286,1208,488
Kctd18,173,194,235,250,257,160,240,218
Sgo2a,739,866,743,785,716,860,840,1312
Aox1,113,67,81,78,93,42,85,183
Aox3,21,15,18,18,3,0,0,2
Aox4,16,14,0,7,0,0,0,0
Aox2,30,10,0,0,0,0,0,1
Gm53481,24,13,7,10,11,10,10,20
Bzw1,7418,8851,7552,6574,7114,10332,7385,12491
Clk1,812,650,681,882,1032,658,586,903
Ppil3,320,282,328,355,361,401,302,509
Nif3l1,739,874,569,856,1071,914,636,1006
Orc2,1457,1601,1015,1209,2221,2325,1353,2625
Hycc2,224,233,245,281,260,295,175,343
Ndufb3,600,577,417,589,548,536,346,654
Flacc1,0,0,7,0,5,2,12,36
Cflar,447,385,1351,539,876,615,752,1082
Casp8,457,375,713,553,574,340,595,543
Gm28802,2,1,0,2,4,3,7,1
Trak2,1267,1397,1858,1470,1563,1778,1237,1513
Stradb,118,108,207,177,196,111,159,156
C2cd6,0,1,0,1,0,0,0,1
Tmem237,423,445,391,620,688,496,425,556
Mpp4,1,3,3,2,0,0,2,5
Als2,454,469,682,620,443,485,579,804
Cdk15,1,3,0,2,17,1,9,0
Fzd7,1648,1634,4375,1889,3087,3069,2286,2820
Gm973,3,3,2,8,18,1,5,3
Sumo1,2129,2286,1345,1871,2779,2331,1988,2285
Nop58,4393,4840,3165,4251,6241,7213,3881,7854
Bmpr2,1787,2042,2798,2353,2219,2034,1813,2298
Fam117b,1002,1229,548,997,979,1121,828,942
Ica1l,8,4,82,12,21,19,3,5
Wdr12,1447,1694,962,1438,1871,2176,1142,2504
Carf,99,131,122,202,217,109,114,102
Nbeal1,534,517,962,424,623,480,486,535
Cyp20a1,709,809,1020,1088,1285,956,968,1186
Abi2,165,236,258,338,395,339,195,328
Raph1,327,374,2037,500,694,588,1558,1417
Gm11578,0,1,12,1,7,1,1,1
Cd28,2,2,0,0,1,0,3,3
Ctla4,0,0,0,0,0,0,0,0
Icos,3,0,16,8,10,11,0,10
Pard3b,81,88,109,132,101,42,109,106
Nrp2,4130,4671,4973,4566,4256,5115,6462,8798
Ino80d,1093,1082,786,869,766,911,608,1152
Ndufs1,2128,2724,1659,2218,2395,2777,1715,2907
Eef1b2,8196,8383,7508,11697,14385,10151,8949,12135
Cmklr2,0,2,4,1,4,0,0,1
Zdbf2,18,15,11,4,12,4,2,15
Adam23,5,25,373,100,131,5,120,17
Fam237a,0,0,0,0,0,0,0,0
Dytn,0,0,0,0,0,0,0,0
Mdh1b,2,5,2,12,2,0,1,1
Fastkd2,621,875,400,673,729,755,413,719
Klf7,677,748,1274,725,1155,749,963,1438
Creb1,1008,1342,1069,1586,1777,1221,1041,1456
Mettl21a,255,312,341,399,414,288,370,329
Ccnyl1,460,755,1876,694,1106,1072,922,1082
Fzd5,177,465,812,199,242,274,148,190
Plekhm3,248,287,399,250,463,286,267,228
Akr1cl,1,0,0,6,1,0,0,0
Cryge,0,0,0,0,4,0,0,0
Crygd,0,0,0,1,0,0,0,0
Crygc,0,0,0,0,0,0,0,0
Crygb,0,0,0,0,0,0,0,0
Cryga,0,0,0,0,0,0,0,0
D630023F18Rik,2,0,0,5,0,0,1,0
Idh1,742,1105,1361,1505,1414,537,1993,1558
Pikfyve,590,609,644,713,933,741,688,834
Pth2r,3,0,3,2,0,0,3,0
Crygf,0,0,0,0,0,0,0,0
Map2,50,41,38,185,135,21,6,8
Unc80,0,0,0,1,33,0,3,0
Rpe,481,639,701,654,1066,895,689,876
Kansl1l,235,212,208,288,302,201,223,336
Acadl,810,569,965,1006,1297,744,1086,1204
Gm15793,32,48,22,23,18,21,21,33
Myl1,0,0,45,0,0,0,0,0
Lancl1,875,909,349,870,1259,567,381,518
Cps1,0,1,0,0,0,0,0,0
Erbb4,0,0,0,0,7,2,0,0
Ikzf2,52,53,118,83,193,8,40,47
Spag16,0,1,0,0,0,0,0,0
Vwc2l,0,0,0,0,0,0,0,0
Bard1,314,349,266,375,407,372,288,537
Abca12,0,7,0,0,0,0,0,0
Atic,4795,5896,3427,5138,4811,9519,4358,9230
Fn1,14899,13436,107109,57932,92500,17492,62925,54815
Gm5528,0,1,0,0,4,5,1,1
Mreg,80,93,26,78,329,508,62,236
Pecr,239,274,116,288,319,218,220,303
Tmem169,23,8,2,17,10,5,18,16
Xrcc5,774,842,415,781,1358,880,712,1022
Marchf4,0,0,2,0,2,0,1,2
Smarcal1,477,560,404,766,654,424,427,534
Ankar,0,3,0,0,0,0,0,0
Rpl37a,5333,6378,4458,6824,5359,7299,4770,7281
Igfbp2,131,76,1660,6182,1021,53,578,114
Igfbp5,3991,4259,2009,1389,202,66,76,57
Tnp1,0,0,0,0,0,0,0,0
Tns1,1454,1296,10815,676,2360,649,4951,1787
Rufy4,1244,1566,253,311,1423,833,14,4
Cxcr2,1,0,0,0,0,2,0,0
Cxcr1,0,1,0,0,0,0,0,0
Arpc2,3137,3884,7120,3866,6046,6028,5431,8000
Gpbar1,1,0,6,5,2,0,0,0
Aamp,1941,1983,1419,2035,1992,1887,1470,1885
Pnkd,454,601,306,525,708,547,444,607
Tmbim1,935,832,1989,946,1794,1359,1175,1216
Catip,5,1,37,1,10,0,16,8
Slc11a1,38,2,52,5,6,0,47,8
Ctdsp1,1798,2028,1599,2095,2033,2233,1481,2897
Vil1,8,0,0,1,1,3,1,0
Usp37,876,940,635,902,1273,1007,675,1082
Cnot9,2088,2402,1581,2295,2470,2571,1823,2864
Plcd4,19,14,6,17,13,15,9,19
Zfp142,838,806,731,982,1007,952,659,1087
Bcs1l,381,502,345,612,639,537,319,374
Rnf25,430,373,348,455,604,497,329,379
Stk36,76,102,113,251,70,55,104,92
Ttll4,2097,2497,1252,2151,2159,2813,1113,2527
Cyp27a1,150,85,34,19,154,51,15,3
Prkag3,46,39,1,9,3,9,3,12
Wnt6,1160,940,52,76,6,1,7,6
Wnt10a,1299,802,11,25,13,0,2,4
Cdk5r2,0,2,2,6,0,0,0,0
Fev,0,1,0,0,0,0,0,0
Cryba2,0,1,0,0,0,0,0,0
Cfap65,0,3,0,0,0,0,0,0
Ihh,2,4,2,2,0,3,3,0
Nhej1,122,105,84,123,110,79,102,94
Slc23a3,18,12,15,6,10,10,8,26
Cnppd1,940,811,1123,906,1331,932,883,965
Retreg2,1278,1114,1003,1174,1463,1202,1044,1502
Zfand2b,262,225,183,230,461,220,228,279
Abcb6,551,524,449,517,786,551,471,571
Atg9a,1002,1064,1232,1197,1383,1056,1109,1140
Ankzf1,265,176,193,216,279,201,174,178
Glb1l,107,96,164,115,149,79,107,115
Stk16,930,877,821,1096,1067,1400,810,1101
Tuba4a,616,888,1288,299,1260,1958,1459,2144
A630095N17Rik,0,0,0,0,0,0,0,0
Dnajb2,326,255,686,444,576,350,499,587
Ptprn,52,42,2749,115,582,418,890,855
Resp18,2,0,0,0,0,0,0,0
Dnpep,972,839,1615,1210,1049,527,1451,999
Des,27,15,3295,76,909,18,501,39
Speg,210,330,1139,354,222,73,502,269
Gmppa,888,779,810,970,946,447,747,512
Asic4,1,8,5,1,2,0,0,0
Chpf,1235,1068,2225,1293,1434,1788,1858,2221
Tmem198,53,27,41,22,26,29,19,49
Obsl1,1525,1056,1216,1993,1070,752,1524,1361
Inha,57,46,68,35,38,22,45,26
Stk11ip,1732,1548,300,626,598,504,386,544
Slc4a3,120,128,458,299,237,134,257,123
Epha4,69,73,173,64,13,9,40,52
Pax3,0,0,0,2,881,178,0,0
Gm2102,0,0,0,3,6,26,0,0
Sgpp2,7,8,0,8,21,9,1,9
Farsb,1835,2148,1339,1705,2693,2839,1746,2700
Mogat1,0,0,1,0,7,0,0,0
Acsl3,872,1388,672,2194,1540,1064,1233,1519
Utp14b,146,313,129,315,228,268,228,393
Kcne4,249,115,149,30,22,0,58,8
Scg2,0,0,2,4,0,0,1,0
Ap1s3,88,119,70,187,100,131,28,39
Wdfy1,321,158,902,249,539,302,451,477
Mrpl44,460,491,356,423,755,461,367,500
Serpine2,161,69,4610,3075,2117,632,1343,905
Fam124b,0,1,4,0,0,0,0,0
Cul3,1975,2558,2482,2359,2977,3274,2526,4331
Dock10,31,5,49,48,118,8,76,50
Nyap2,0,0,0,2,0,0,0,0
Irs1,422,450,582,1097,659,309,644,1594
Rhbdd1,409,449,663,484,1570,681,587,704
Col4a4,74,130,67,4,62,14,6,9
Col4a3,45,72,109,1,14,7,4,6
Mff,1156,1255,1263,1185,1766,1322,1252,1418
Tm4sf20,1,0,2,0,0,1,3,0
Agfg1,1493,2002,2211,1808,2548,2508,1754,2404
Slc19a3,7,5,5,0,13,0,4,0
Krtap28-13,0,0,0,0,0,0,0,0
Ccl20,10,2,6,0,5,0,3,1
Daw1,1,1,0,0,1,1,0,0
Sphkap,0,0,10,0,0,0,0,0
Pid1,20,17,130,141,31,5,84,21
Dner,5,9,30,133,0,1,22,12
Gm57795,0,0,0,0,0,0,0,0
Trip12,3577,4626,5851,4905,5525,5844,5218,6501
Fbxo36,43,53,35,95,79,40,53,47
Slc16a14,0,4,0,4,4,2,0,0
Sp140l1,1,13,1,0,0,1,1,0
Gm38510,0,4,0,0,0,0,1,0
Gm53253,15,3,29,24,9,8,15,15
Gm7609,6,3,1,0,0,0,0,0
Sp140l2,3,11,0,0,0,0,2,0
Gm53567,0,4,0,0,0,0,2,0
Gm7592,5,4,0,0,0,0,2,1
Gm2427,68,35,82,147,42,64,88,99
Sp110,346,41,14,0,14,2,9,5
Sp140,287,85,130,69,75,36,104,67
Sp100,422,114,94,5,90,5,76,44
A630001G21Rik,102,127,26,10,13,0,9,6
Cab39,1818,2179,2411,1876,3195,2672,2112,2750
Itm2c,2269,1761,3915,1743,3325,1395,2917,1864
Gpr55,4,1,1,0,0,0,0,0
Spata3,0,0,0,0,0,0,0,0
2810459M11Rik,2,3,2,15,0,0,0,0
Psmd1,4958,5143,4624,4034,3622,6605,5338,10003
Htr2b,3,18,24,10,12,12,8,45
Armc9,275,259,195,347,354,461,245,627
B3gnt7,3,0,3,0,2,0,4,1
Gm5258,0,0,0,0,0,0,0,0
Ncl,26443,32652,17446,25699,30444,56204,24285,53655
Nmur1,0,1,1,0,1,0,0,2
Tex44,0,0,0,0,0,0,0,0
Ptma,47427,51079,21679,39572,43835,43499,32416,60599
Pde6d,450,374,470,498,603,422,482,483
Cops7b,612,605,436,618,646,733,503,803
Nppc,6,0,70,0,17,10,1,0
Dis3l2,333,305,204,358,361,333,157,228
Alppl2,0,0,0,0,0,0,0,0
Alpi,1,0,0,0,0,0,0,0
Akp3,0,2,0,0,0,0,0,0
Ecel1,0,1,10,0,2,4,1,0
Prss56,1,0,2,0,3,6,4,4
Chrnd,0,1,5,0,0,0,0,0
Chrng,0,0,11,3,0,0,0,0
Eif4e2,1925,2074,1911,2108,2271,2211,1832,2279
Efhd1,4,2,9,47,37,1,0,0
Gigyf2,1521,1754,1358,1914,1851,2155,1426,2086
Kcnj13,12,5,4,0,8,2,1,5
Snorc,23,4,0,0,30,0,0,0
Ngef,63,130,10,19,47,32,4,48
Neu2,0,0,0,0,0,0,0,0
Inpp5d,132,105,111,3,18,0,30,2
Atg16l1,669,544,621,473,753,703,538,798
Sag,4,2,0,2,4,2,1,7
Dgkd,1506,1733,1291,1363,2755,1931,1335,2210
Usp40,903,1144,927,1237,1086,1337,815,914
Ugt1a10,0,0,0,0,0,0,0,0
Ugt1a9,0,0,1,0,0,0,0,0
Ugt1a8,0,0,0,0,0,0,0,0
Ugt1a7c,5,0,373,10,77,2,99,31
Ugt1a6b,0,0,3,0,3,0,1,4
Ugt1a6a,5,2,89,99,25,1,73,53
Ugt1a5,0,0,0,0,0,0,1,0
Ugt1a2,0,0,0,0,0,0,1,0
Dnajb3,26,19,27,0,9,7,6,34
Ugt1a1,0,0,0,1,3,0,0,0
Mroh2a,0,1,3,0,2,0,0,1
Hjurp,6786,7294,3954,6883,5571,4352,4708,7390
Trpm8,11,3,0,0,0,1,0,0
Spp2,0,2,0,0,0,0,0,0
Glrp1,42,24,12,1,60,7,8,4
Arl4c,1810,1682,670,142,1934,802,415,440
Sh3bp4,2577,3003,763,356,1221,608,1225,1870
Agap1,1149,1361,610,538,2001,791,1028,926
Gbx2,0,0,51,6,9,4,0,2
LOC102637806,0,0,11,0,0,0,5,0
Asb18,0,0,0,0,0,0,0,0
Iqca1,1,1,0,1,0,0,0,0
Ackr3,364,199,515,431,722,293,455,161
Cops8,1644,1778,1408,1583,1994,2317,1685,2348
Col6a3,7635,5489,22889,2811,9575,2406,14575,9050
Mlph,88,58,9,3,111,9,15,13
Prlh,0,4,0,0,0,0,0,0
Rab17,14,4,4,0,135,1,0,0
Lrrfip1,1334,1383,5067,1040,3045,4054,2576,4118
Rbm44,5,0,1,0,0,0,1,1
Ramp1,49,14,49,2,69,26,7,0
Ube2f,544,603,797,452,800,856,664,750
Scly,364,287,318,259,966,313,595,283
Espnl,22,18,0,9,22,14,7,4
Klhl30,193,88,75,22,187,3,11,4
Erfe,159,109,172,26,126,74,77,30
Ilkap,822,822,666,899,1100,999,788,1097
Hes6,241,185,287,206,584,308,273,196
Per2,187,167,225,114,170,139,68,171
Traf3ip1,247,272,245,298,344,383,235,412
Asb1,226,285,518,457,473,457,406,488
Twist2,955,1041,628,264,1394,1763,1017,1456
Hdac4,331,419,678,476,1212,706,793,743
Ndufa10,1771,2104,1409,2107,2531,2431,1717,2541
Or6b2,0,0,0,0,0,0,0,0
Or6b2b,0,0,0,0,0,0,0,0
Or6b3,0,0,0,0,0,0,0,0
Or9s23,0,0,0,0,0,0,0,0
Or9s27,0,0,0,0,0,0,0,0
Or9s15,0,0,0,0,0,0,0,0
Or9s14,0,0,0,0,0,0,0,0
Or9s13,0,0,0,0,2,0,0,0
Cops9,464,383,413,510,550,428,326,463
Otos,4,0,1,2,4,3,3,3
Gpc1,9365,5700,2286,1634,3726,1719,2133,1763
Ankmy1,14,7,2,10,8,1,5,6
Dusp28,113,90,50,48,143,92,31,21
Rnpepl1,728,704,923,781,977,714,428,386
Capn10,404,389,366,409,528,365,388,399
Gpr35,23,17,70,17,29,3,103,28
Aqp12,0,0,0,0,0,0,0,0
Kif1a,247,177,1458,77,141,13,275,53
Agxt,0,0,2,1,0,0,0,0
Mab21l4,4,36,1,0,6,0,0,0
Crocc2,494,295,19,244,4,0,7,9
Sned1,2655,2550,430,6002,44,30,99,168
Mterf4,275,225,189,224,311,155,188,224
Pask,387,466,335,559,639,371,398,627
Ppp1r7,1053,1430,969,1681,1181,1649,951,1442
Ano7,5,3,6,1,0,0,0,1
Hdlbp,10111,12928,18876,13884,12070,15125,17046,17622
Gm17415,5,3,3,4,3,1,2,13
Septin2,4634,5824,6086,5713,7074,4898,6601,7113
Farp2,280,444,297,506,292,438,244,485
Stk25,1093,1050,1449,1488,1921,1460,1535,1211
Bok,1314,1062,1269,1069,1618,992,1112,1684
Thap4,736,757,670,875,986,670,719,1024
Atg4b,695,757,881,1065,1013,791,791,974
Dtymk,2417,2199,1465,2335,2420,2116,1524,2643
Ing5,686,760,565,724,746,889,618,988
D2hgdh,252,350,270,539,423,377,309,377
Gal3st2,7,3,390,1,23,1,23,0
Gal3st2b,3,2,138,0,10,0,11,0
Gal3st2c,1,2,19,0,0,0,1,0
Neu4,0,0,0,0,2,0,0,0
Pdcd1,73,15,0,0,0,0,0,0
Fam174a,379,223,304,258,338,189,208,194
St8sia4,61,54,97,3,33,0,20,0
Slco4c1,14,7,0,0,0,0,0,0
Slco6c1,0,0,0,0,0,0,0,0
Gm7133,0,0,0,0,0,0,0,0
Gm7135,0,0,0,0,0,0,0,0
Macir,498,594,465,526,938,1110,626,1197
Ppip5k2,1138,1738,1004,1760,1816,1858,1054,2259
Gin1,244,236,144,220,228,268,108,301
Pam,5471,2903,2493,1708,1733,2144,1684,2694
Slco6d1,0,0,1,2,0,0,1,0
Cntnap5b,28,36,0,2,0,0,0,0
Gm53575,70,114,122,29,42,33,108,97
Gm29667,18,25,15,12,7,19,24,22
Cdh20,0,2,0,1,0,0,0,0
Rnf152,4,2,30,2,17,2,49,34
Pign,985,1071,1282,1387,2239,1212,1619,1668
Relch,537,611,734,724,687,579,571,627
